	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S292_pool2	BPAF_0.0005_676	0.0005	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S292_pool2	MCF-7	BPAF_0.0005	1478-61-1	BPAF	0.0005	S292_pool2	0.995424794888041
S300_pool2	BPAF_0.001_684	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S300_pool2	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S300_pool2	0.989713371635148
S308_pool2	BPAF_0.01_692	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S308_pool2	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S308_pool2	0.985192226785681
S316_pool2	BPAF_0.1_700	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S316_pool2	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S316_pool2	0.963467993250096
S324_pool2	BPAF_0.5_708	0.5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S324_pool2	MCF-7	BPAF_0.5	1478-61-1	BPAF	0.5	S324_pool2	1.01745335753452
S332_pool2	BPAF_1_716	1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S332_pool2	MCF-7	BPAF_1	1478-61-1	BPAF	1	S332_pool2	0.970336294690246
S340_pool2	BPAF_5_724	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S340_pool2	MCF-7	BPAF_5	1478-61-1	BPAF	5	S340_pool2	0.974313904050847
S348_pool2	BPAF_10_732	10	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S348_pool2	MCF-7	BPAF_10	1478-61-1	BPAF	10	S348_pool2	0.99508954906735
S374_pool2	Cells, no treatment_0_758	0	N/A	S374_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S374_pool2	0.966578434640249
S375_pool2	Cells, no treatment_0_759	0	N/A	S375_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S375_pool2	0.956154496114432
S376_pool2	Cells, no treatment_0_760	0	N/A	S376_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S376_pool2	0.988626207391863
