	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S182_pool2	Cells, no treatment_0_566	0	N/A	S182_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool2	0.973216884569712
S183_pool2	Cells, no treatment_0_567	0	N/A	S183_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool2	0.983027669713373
S184_pool2	Cells, no treatment_0_568	0	N/A	S184_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool2	0.998561089829107
S279_pool2	Cells, no treatment_0_663	0	N/A	S279_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S279_pool2	0.975943839450719
S280_pool2	Cells, no treatment_0_664	0	N/A	S280_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S280_pool2	0.995490905991464
S293_pool2	BTUM_0.0005_677	0.0005	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S293_pool2	MCF-7	BTUM_0.0005	151882-81-4	BTUM	0.0005	S293_pool2	0.984942823251038
S301_pool2	BTUM_0.001_685	0.001	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S301_pool2	MCF-7	BTUM_0.001	151882-81-4	BTUM	0.001	S301_pool2	0.972220167912057
S309_pool2	BTUM_0.01_693	0.01	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S309_pool2	MCF-7	BTUM_0.01	151882-81-4	BTUM	0.01	S309_pool2	0.99475435733331
S317_pool2	BTUM_0.1_701	0.1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S317_pool2	MCF-7	BTUM_0.1	151882-81-4	BTUM	0.1	S317_pool2	0.978055781812541
S325_pool2	BTUM_0.5_709	0.5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S325_pool2	MCF-7	BTUM_0.5	151882-81-4	BTUM	0.5	S325_pool2	1.00870316199877
S333_pool2	BTUM_1_717	1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S333_pool2	MCF-7	BTUM_1	151882-81-4	BTUM	1	S333_pool2	0.962416803851943
S341_pool2	BTUM_5_725	5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S341_pool2	MCF-7	BTUM_5	151882-81-4	BTUM	5	S341_pool2	0.976031856161469
S349_pool2	BTUM_10_733	10	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S349_pool2	MCF-7	BTUM_10	151882-81-4	BTUM	10	S349_pool2	0.996063226303713
S374_pool2	Cells, no treatment_0_758	0	N/A	S374_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S374_pool2	0.969429867395392
S375_pool2	Cells, no treatment_0_759	0	N/A	S375_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S375_pool2	0.958975177966508
S376_pool2	Cells, no treatment_0_760	0	N/A	S376_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S376_pool2	0.991542681678194
